Node_with_Module,Node,Module,X,Y,Z,Neighbor_Nodes,Bars,Physical_Bars,Physical_Nodes,Ground,Inner_Outer
HOT-13,HOT,13,4.710215594,-98.76846102,58.92129363,PRO_JAM_OLD,HOT-PRO_HOT-JAM_HOT-OLD,HOT-PRO-13_HOT-JAM-13_HOT-OLD-13,PRO-13_JAM-13_OLD-13,0,outer
DUI-2,DUI,2,97.20427659,55.49964198,-20.27930937,DIG_SKY,DIG-DUI_DUI-SKY,DIG-DUI-2_DUI-SKY-2,DIG-2_SKY-2,0,inner
FOX-2,FOX,2,113.4612856,14.11545098,-39.83334437,BOY_SKY_IVY_TAG,BOY-FOX_FOX-SKY_FOX-IVY_FOX-TAG,BOY-FOX-2_FOX-SKY-2_FOX-IVY-2_FOX-TAG-2,BOY-2_SKY-2_IVY-2_TAG-2,0,outer
FRO-1,FRO,1,83.11559959,92.49394598,-76.93202537,WHO_GUN_ASK_OFF,FRO-WHO_FRO-GUN_ASK-FRO_FRO-OFF,FRO-WHO-1_FRO-GUN-1_ASK-FRO-2_FRO-OFF-1,WHO-1_GUN-1_ASK-2_OFF-2,0,outer
ELK-9,ELK,9,-74.04124941,-76.36781602,-38.83893637,AGE_COY,AGE-ELK_COY-ELK,AGE-ELK-9_COY-ELK-9,AGE-9_COY-9,0,inner
ACT-6,ACT,6,-51.10642441,-19.28789502,48.41176363,TRY_DUH_TAU_LAX,ACT-TRY_ACT-DUH_ACT-TAU_ACT-LAX,ACT-LAX-12_ACT-TRY-6_ACT-DUH-6_ACT-TAU-6_ACT-LAX-6,LAX-12_TRY-6_DUH-6_TAU-6_LAX-6,0,inner
HIP-10,HIP,10,-32.92354741,-153.773805,-17.57409037,FOR_SAD_NEW,FOR-HIP_HIP-SAD_HIP-NEW,FOR-HIP-10_HIP-SAD-10_HIP-NEW-10,FOR-10_SAD-10_NEW-10,0,outer
WIN-8,WIN,8,97.42435959,-41.22449302,-65.29166837,BAH_BAM_HAY_PAY,BAH-WIN_BAM-WIN_HAY-WIN_PAY-WIN,BAH-WIN-8_BAM-WIN-8_HAY-WIN-8_PAY-WIN-8,BAH-8_BAM-8_HAY-8_PAY-8,0,outer
RAW-1,RAW,1,76.51529459,115.720687,-61.04676337,LEG,LEG-RAW,LEG-RAW-1,LEG-1,0,outer
HOW-5,HOW,5,3.807477594,116.592725,4.278644628,GAL_WAR_PIE_BOA,GAL-HOW_HOW-WAR_HOW-PIE_BOA-HOW,GAL-HOW-1_HOW-WAR-1_HOW-PIE-1_HOW-WAR-5_BOA-HOW-5,GAL-1_WAR-1_PIE-1_WAR-5_BOA-5,0,inner
JOB-5,JOB,5,3.845794594,74.53298798,59.56868863,ADO_NAY_JUG_PLY,ADO-JOB_JOB-NAY_JOB-JUG_JOB-PLY,ADO-JOB-5_JOB-NAY-5_JOB-JUG-5_JOB-PLY-5,ADO-5_NAY-5_JUG-5_PLY-5,0,outer
SAY-4,SAY,4,-108.8266474,31.44797198,-6.289134372,BED_GIN_ICE,BED-SAY_GIN-SAY_ICE-SAY,BED-SAY-4_GIN-SAY-4_ICE-SAY-4,BED-4_GIN-4_ICE-4,0,outer
ALA-3,ALA,3,-74.19261141,120.025893,-24.32966137,AGO_INK_FLY_MIX,AGO-ALA_ALA-INK_ALA-FLY_ALA-MIX,AGO-ALA-3_ALA-INK-3_ALA-FLY-3_ALA-MIX-3,AGO-3_INK-3_FLY-3_MIX-3,0,outer
EGO-3,EGO,3,-99.14678941,74.90171698,-80.80211637,AIM_LID_OAR,AIM-EGO_EGO-LID_EGO-OAR,AIM-EGO-3_EGO-LID-3_EGO-OAR-3,AIM-3_LID-3_OAR-3,0,outer
MOO-10,MOO,10,31.52915659,-135.876097,28.76128663,EGG_PIG_JAM,EGG-MOO_MOO-PIG_JAM-MOO,EGG-MOO-10_MOO-PIG-10_JAM-MOO-13,EGG-10_PIG-10_JAM-13,0,outer
OIL-3,OIL,5,-57.16906441,104.268151,-4.853784372,INK_DRY_SHY,INK-OIL_DRY-OIL_OIL-SHY,INK-OIL-3_DRY-OIL-5_OIL-SHY-5,INK-3_DRY-5_SHY-5,0,inner
MAC-11,MAC,7,68.15962259,-3.122933017,49.85057663,FIX_IRE_POP_GIG,FIX-MAC_IRE-MAC_MAC-POP_GIG-MAC,FIX-MAC-11_GIG-MAC-11_FIX-MAC-7_IRE-MAC-7_MAC-POP-7,FIX-11_GIG-11_FIX-7_IRE-7_POP-7,0,outer
BED-12,BED,9,-94.74560041,-9.822877017,-9.187424372,SAY_CHI_MAD,BED-SAY_BED-CHI_BED-MAD,BED-MAD-12_BED-SAY-4_BED-CHI-9,MAD-12_SAY-4_CHI-9,0,inner
COY-9,COY,9,-80.74662941,-50.26531802,-1.981156372,ELK_KIT_BUG,COY-ELK_COY-KIT_BUG-COY,BUG-COY-12_COY-ELK-9_COY-KIT-9,BUG-12_ELK-9_KIT-9,0,inner
NAY-5,NAY,5,-14.06673741,88.98864298,50.76425863,FUN_JOB_REF,FUN-NAY_JOB-NAY_NAY-REF,FUN-NAY-5_JOB-NAY-5_NAY-REF-5,FUN-5_JOB-5_REF-5,0,outer
YAK-13,YAK,12,-44.92779141,-95.14453702,49.47698363,FIG_GOO_LAB_ZAP,FIG-YAK_GOO-YAK_LAB-YAK_YAK-ZAP,GOO-YAK-13_LAB-YAK-13_YAK-ZAP-13_FIG-YAK-12_GOO-YAK-12_LAB-YAK-12,GOO-13_LAB-13_ZAP-13_FIG-12_GOO-12_LAB-12,0,outer
YAK-12,YAK,12,-47.02312041,-91.34388602,49.32608163,FIG_GOO_LAB_ZAP,FIG-YAK_GOO-YAK_LAB-YAK_YAK-ZAP,GOO-YAK-13_LAB-YAK-13_YAK-ZAP-13_FIG-YAK-12_GOO-YAK-12_LAB-YAK-12,GOO-13_LAB-13_ZAP-13_FIG-12_GOO-12_LAB-12,0,outer
FOG-6,FOG,6,-14.02564141,-21.90110802,77.66722063,TAU_RIB,FOG-TAU_FOG-RIB,FOG-TAU-14_FOG-RIB-14_FOG-TAU-6_FOG-RIB-6,TAU-14_RIB-14_TAU-6_RIB-6,0,outer
HOW-1,HOW,5,6.326552594,118.044822,1.885876628,GAL_WAR_PIE_BOA,GAL-HOW_HOW-WAR_HOW-PIE_BOA-HOW,GAL-HOW-1_HOW-WAR-1_HOW-PIE-1_HOW-WAR-5_BOA-HOW-5,GAL-1_WAR-1_PIE-1_WAR-5_BOA-5,0,inner
EON-7,EON,7,62.85992059,51.31187898,48.11208163,BRO_WET_POP_NIL,BRO-EON_EON-WET_EON-POP_EON-NIL,BRO-EON-7_EON-WET-7_EON-POP-7_EON-NIL-7,BRO-7_WET-7_POP-7_NIL-7,0,outer
FAN-6,FAN,6,-53.57925541,51.12708598,53.57610463,VOW_MOP_ZZZ_FUN,FAN-VOW_FAN-MOP_FAN-ZZZ_FAN-FUN,FAN-VOW-6_FAN-MOP-6_FAN-ZZZ-6_FAN-FUN-6,VOW-6_MOP-6_ZZZ-6_FUN-5,0,outer
ZZZ-6,ZZZ,6,-79.23398341,42.81055598,41.84575163,FAN_HAM_NAN_WIZ,FAN-ZZZ_HAM-ZZZ_NAN-ZZZ_WIZ-ZZZ,FAN-ZZZ-6_HAM-ZZZ-6_NAN-ZZZ-6_WIZ-ZZZ-4,FAN-6_HAM-6_NAN-6_WIZ-4,0,outer
DIG-2,DIG,2,99.36351259,82.04294498,-25.19441537,HIT_DUI_TUB_JOY,DIG-HIT_DIG-DUI_DIG-TUB_DIG-JOY,DIG-HIT-2_DIG-DUI-2_DIG-TUB-2_DIG-JOY-2,HIT-2_DUI-2_TUB-2_JOY-1,0,outer
LEG-1,LEG,1,53.69602259,137.684574,-68.68453837,OVA_SPY_RAW_NIX,LEG-OVA_LEG-SPY_LEG-RAW_LEG-NIX,LEG-OVA-1_LEG-SPY-1_LEG-RAW-1_LEG-NIX-1,OVA-1_SPY-1_RAW-1_NIX-1,0,outer
AMP-8,AMP,8,53.95782659,-110.233246,-46.81392637,SEX_YAY_ROB_CAB,AMP-SEX_AMP-YAY_AMP-ROB_AMP-CAB,AMP-SEX-10_AMP-ROB-10_AMP-CAB-10_AMP-SEX-8_AMP-YAY-8,SEX-10_ROB-10_CAB-10_SEX-8_YAY-8,1,outer
USE-9,USE,9,-66.40635841,-98.69556402,-51.81747737,COP_TAT_WOW_NEW,COP-USE_TAT-USE_USE-WOW_NEW-USE,COP-USE-9_TAT-USE-9_USE-WOW-9_NEW-USE-10,COP-9_TAT-9_WOW-9_NEW-10,0,outer
EAR-10,EAR,10,46.59295959,-108.725841,23.04261663,GEL_JAM_ZOO_PHI,EAR-GEL_EAR-JAM_EAR-ZOO_EAR-PHI,EAR-JAM-11_EAR-ZOO-11_EAR-PHI-11_EAR-GEL-10,JAM-11_ZOO-11_PHI-11_GEL-10,0,inner
DUH-6,DUH,6,-51.47386841,5.233506983,63.54871163,ACT_TRY_SOY,ACT-DUH_DUH-TRY_DUH-SOY,ACT-DUH-6_DUH-TRY-6_DUH-SOY-6,ACT-6_TRY-6_SOY-6,0,outer
YAY-8,YAY,8,52.54010159,-78.35575402,-52.84782737,AMP_BAM_HAY_SAW_CAB,AMP-YAY_BAM-YAY_HAY-YAY_SAW-YAY_CAB-YAY,AMP-YAY-8_BAM-YAY-8_HAY-YAY-8_SAW-YAY-8_CAB-YAY-10,AMP-8_BAM-8_HAY-8_SAW-8_CAB-10,1,inner
FOG-14,FOG,6,-11.92286041,-24.93838202,78.58385063,TAU_RIB,FOG-TAU_FOG-RIB,FOG-TAU-14_FOG-RIB-14_FOG-TAU-6_FOG-RIB-6,TAU-14_RIB-14_TAU-6_RIB-6,0,outer
KEY-12,KEY,9,-69.18783341,-117.131377,11.78622063,NOR_WIG_FIG_GOO,KEY-NOR_KEY-WIG_FIG-KEY_GOO-KEY,KEY-NOR-12_FIG-KEY-12_GOO-KEY-12_KEY-NOR-9_KEY-WIG-9,NOR-12_FIG-12_GOO-12_NOR-9_WIG-9,0,outer
WAX-3,WAX,3,-61.03240041,113.301845,-94.98505137,AIM_GUT_HEX_LID_SIP,AIM-WAX_GUT-WAX_HEX-WAX_LID-WAX_SIP-WAX,AIM-WAX-3_GUT-WAX-3_HEX-WAX-3_LID-WAX-3_SIP-WAX-3,AIM-3_GUT-3_HEX-3_LID-3_SIP-3,1,inner
ERA-14,ERA,7,13.73802359,14.67203198,62.12956063,AHI_YES_NIL,AHI-ERA_ERA-YES_ERA-NIL,AHI-ERA-7_ERA-YES-7_ERA-NIL-7,AHI-7_YES-7_NIL-7,0,inner
MAC-7,MAC,7,68.15962259,1.329739983,49.85057663,FIX_IRE_POP_GIG,FIX-MAC_IRE-MAC_MAC-POP_GIG-MAC,FIX-MAC-11_GIG-MAC-11_FIX-MAC-7_IRE-MAC-7_MAC-POP-7,FIX-11_GIG-11_FIX-7_IRE-7_POP-7,0,outer
NOR-12,NOR,9,-75.85383241,-91.25010502,5.971789628,KEY_WIG_WOW_ART,KEY-NOR_NOR-WIG_NOR-WOW_ART-NOR,KEY-NOR-12_ART-NOR-12_KEY-NOR-9_NOR-WIG-9_NOR-WOW-9,KEY-12_ART-12_KEY-9_WIG-9_WOW-9,0,inner
NIX-1,NIX,1,19.61778759,146.65104,-71.21173037,LEG_OVA_WHO_PIE,LEG-NIX_NIX-OVA_NIX-WHO_NIX-PIE,LEG-NIX-1_NIX-OVA-1_NIX-WHO-1_NIX-PIE-1,LEG-1_OVA-1_WHO-1_PIE-1,1,inner
RIB-6,RIB,6,-1.325779406,0.831416983,77.87267963,FOG_IRE_LAW,FOG-RIB_IRE-RIB_LAW-RIB,FOG-RIB-14_IRE-RIB-14_LAW-RIB-14_FOG-RIB-6,FOG-14_IRE-14_LAW-14_FOG-6,0,outer
BIO-1,BIO,1,66.46786359,118.555503,-9.524659372,ARM_JOY_RAD,ARM-BIO_BIO-JOY_BIO-RAD,ARM-BIO-1_BIO-JOY-1_BIO-RAD-1,ARM-1_JOY-1_RAD-1,0,outer
HUG-4,HUG,4,-93.46122141,17.77017398,-89.94626137,BOX_FLU_VAN_SIR_LID,BOX-HUG_FLU-HUG_HUG-VAN_HUG-SIR_HUG-LID,BOX-HUG-4_FLU-HUG-4_HUG-VAN-4_HUG-SIR-4_HUG-LID-4,BOX-4_FLU-4_VAN-4_SIR-9_LID-3,1,inner
LAB-13,LAB,12,-37.12603241,-72.32935502,62.35637563,LAM_YAK_OLD,LAB-LAM_LAB-YAK_LAB-OLD,LAB-YAK-13_LAB-OLD-13_LAB-LAM-12_LAB-YAK-12,YAK-13_OLD-13_LAM-12_YAK-12,0,outer
LAB-12,LAB,12,-39.22136141,-68.52870402,62.20547263,LAM_YAK_OLD,LAB-LAM_LAB-YAK_LAB-OLD,LAB-YAK-13_LAB-OLD-13_LAB-LAM-12_LAB-YAK-12,YAK-13_OLD-13_LAM-12_YAK-12,0,outer
EYE-7,EYE,7,97.34155959,14.98342398,16.20123563,SUN_POP_GAS,EYE-SUN_EYE-POP_EYE-GAS,EYE-SUN-7_EYE-POP-7_EYE-GAS-7,SUN-7_POP-7_GAS-11,0,outer
OLD-13,OLD,14,1.174937594,-65.18592102,70.88896363,HOT_LAB_LIE_EVE,HOT-OLD_LAB-OLD_LIE-OLD_EVE-OLD,HOT-OLD-13_LAB-OLD-13_LIE-OLD-13_LIE-OLD-14_EVE-OLD-14,HOT-13_LAB-13_LIE-13_LIE-14_EVE-14,0,outer
GET-10,GET,10,-11.22186041,-141.007733,-35.38363137,CAB_COP_DAD_OAK_NEW,CAB-GET_COP-GET_DAD-GET_GET-OAK_GET-NEW,CAB-GET-10_COP-GET-10_DAD-GET-10_GET-OAK-10_GET-NEW-10,CAB-10_COP-10_DAD-10_OAK-10_NEW-10,1,inner
OAK-10,OAK,10,18.45301759,-148.691116,-31.06690737,CAB_FOR_GET_ROB,CAB-OAK_FOR-OAK_GET-OAK_OAK-ROB,CAB-OAK-10_FOR-OAK-10_GET-OAK-10_OAK-ROB-10,CAB-10_FOR-10_GET-10_ROB-10,1,outer
FAX-11,FAX,11,52.93065359,-53.90876502,53.84225463,AIR_COW_ZOO_GIG,AIR-FAX_COW-FAX_FAX-ZOO_FAX-GIG,AIR-FAX-11_COW-FAX-11_FAX-ZOO-11_FAX-GIG-11,AIR-11_COW-11_ZOO-11_GIG-11,0,outer
MIX-3,MIX,3,-82.31358541,116.370628,-59.92703137,ALA_MOM,ALA-MIX_MIX-MOM,ALA-MIX-3_MIX-MOM-3,ALA-3_MOM-3,0,outer
SEX-10,SEX,8,60.83833759,-123.218531,-17.84211037,AMP_SAW_ROB,AMP-SEX_SAW-SEX_ROB-SEX,AMP-SEX-10_ROB-SEX-10_AMP-SEX-8_SAW-SEX-8,AMP-10_ROB-10_AMP-8_SAW-8,0,inner
ETA-8,ETA,8,99.52760759,-14.70496602,-50.85733837,BAH_CIS_BAM_PAY,BAH-ETA_CIS-ETA_BAM-ETA_ETA-PAY,BAH-ETA-2_CIS-ETA-2_BAH-ETA-8_BAM-ETA-8_ETA-PAY-8,BAH-2_CIS-2_BAH-8_BAM-8_PAY-8,0,inner
ACT-12,ACT,6,-49.11285441,-22.85043002,48.08552363,TRY_DUH_TAU_LAX,ACT-TRY_ACT-DUH_ACT-TAU_ACT-LAX,ACT-LAX-12_ACT-TRY-6_ACT-DUH-6_ACT-TAU-6_ACT-LAX-6,LAX-12_TRY-6_DUH-6_TAU-6_LAX-6,0,inner
BRO-7,BRO,7,82.03459059,72.08309498,23.31367063,ACE_EON_HIT_ARM,ACE-BRO_BRO-EON_BRO-HIT_ARM-BRO,ACE-BRO-7_BRO-EON-7_BRO-HIT-7_ARM-BRO-1,ACE-7_EON-7_HIT-7_ARM-1,0,outer
ROB-10,ROB,10,41.82992959,-142.516761,-24.93582837,AMP_GEL_OAK_SEX,AMP-ROB_GEL-ROB_OAK-ROB_ROB-SEX,AMP-ROB-10_GEL-ROB-10_OAK-ROB-10_ROB-SEX-10,AMP-10_GEL-10_OAK-10_SEX-10,0,outer
RIB-14,RIB,6,0.777001594,-2.205857017,78.78930963,FOG_IRE_LAW,FOG-RIB_IRE-RIB_LAW-RIB,FOG-RIB-14_IRE-RIB-14_LAW-RIB-14_FOG-RIB-6,FOG-14_IRE-14_LAW-14_FOG-6,0,outer
COW-11,COW,11,60.75696259,-56.31003402,27.76317763,KEG_LIE_FAX,COW-KEG_COW-LIE_COW-FAX,COW-KEG-11_COW-LIE-11_COW-FAX-11,KEG-11_LIE-11_FAX-11,0,inner
NAN-6,NAN,6,-56.65210441,24.70875698,41.61903863,HAM_PLY_ZZZ,HAM-NAN_NAN-PLY_NAN-ZZZ,HAM-NAN-6_NAN-PLY-6_NAN-ZZZ-6,HAM-6_PLY-6_ZZZ-6,0,inner
ELF-1,ELF,1,42.59283659,109.975758,-1.147938372,DUB_WET_RAD_ADO,DUB-ELF_ELF-WET_ELF-RAD_ADO-ELF,DUB-ELF-1_ELF-WET-1_ELF-RAD-1_ADO-ELF-5,DUB-1_WET-1_RAD-1_ADO-5,0,inner
HEX-3,HEX,3,-57.82588741,138.550331,-73.40293337,GUT_SIP_MAY_WAX,GUT-HEX_HEX-SIP_HEX-MAY_HEX-WAX,GUT-HEX-3_HEX-SIP-3_HEX-MAY-3_HEX-WAX-3,GUT-3_SIP-3_MAY-3_WAX-3,0,outer
KEG-8,KEG,8,85.82889359,-60.24863902,7.293060628,LUG_COW_ODD_WAS,KEG-LUG_COW-KEG_KEG-ODD_KEG-WAS,KEG-LUG-11_COW-KEG-11_KEG-ODD-11_KEG-WAS-11_KEG-LUG-8,LUG-11_COW-11_ODD-11_WAS-11_LUG-8,0,outer
DAY-4,DAY,4,-94.73552341,29.94447198,-26.25327037,PAW,DAY-PAW,DAY-PAW-4,PAW-4,0,inner
CAB-10,CAB,10,25.94835359,-122.829441,-37.65312837,AMP_OAK_GET_YAY,AMP-CAB_CAB-OAK_CAB-GET_CAB-YAY,AMP-CAB-10_CAB-OAK-10_CAB-GET-10_CAB-YAY-10,AMP-10_OAK-10_GET-10_YAY-8,1,inner
RUM-3,RUM,5,-21.85544841,135.503937,-29.20266437,SIP_REF_PIE,RUM-SIP_REF-RUM_PIE-RUM,RUM-SIP-3_REF-RUM-5_PIE-RUM-1,SIP-3_REF-5_PIE-1,1,inner
FIG-12,FIG,12,-68.95094441,-94.26845802,33.62420063,ART_BUG_KEY_YAK,ART-FIG_BUG-FIG_FIG-KEY_FIG-YAK,ART-FIG-12_BUG-FIG-12_FIG-KEY-12_FIG-YAK-12,ART-12_BUG-12_KEY-12_YAK-12,0,outer
GAL-1,GAL,1,24.98754559,133.745892,-1.576939372,HOW_WAR_RAD,GAL-HOW_GAL-WAR_GAL-RAD,GAL-HOW-1_GAL-WAR-1_GAL-RAD-1,HOW-1_WAR-1_RAD-1,0,outer
GOO-13,GOO,12,-41.85655141,-112.918897,27.08052363,BUG_YAK_KEY_PRO,BUG-GOO_GOO-YAK_GOO-KEY_GOO-PRO,GOO-YAK-13_GOO-PRO-13_BUG-GOO-12_GOO-YAK-12_GOO-KEY-12,YAK-13_PRO-13_BUG-12_YAK-12_KEY-12,0,inner
GOO-12,GOO,12,-43.95188141,-109.118245,26.92962063,BUG_YAK_KEY_PRO,BUG-GOO_GOO-YAK_GOO-KEY_GOO-PRO,GOO-YAK-13_GOO-PRO-13_BUG-GOO-12_GOO-YAK-12_GOO-KEY-12,YAK-13_PRO-13_BUG-12_YAK-12_KEY-12,0,inner
GOO-10,GOO,12,-41.43612741,-116.655241,25.71561463,BUG_YAK_KEY_PRO,BUG-GOO_GOO-YAK_GOO-KEY_GOO-PRO,GOO-YAK-13_GOO-PRO-13_BUG-GOO-12_GOO-YAK-12_GOO-KEY-12,YAK-13_PRO-13_BUG-12_YAK-12_KEY-12,0,inner
ZOO-11,ZOO,11,53.59552959,-79.92789602,45.84201263,EAR_FAX_JAM_WAS,EAR-ZOO_FAX-ZOO_JAM-ZOO_WAS-ZOO,EAR-ZOO-11_FAX-ZOO-11_JAM-ZOO-11_WAS-ZOO-11,EAR-11_FAX-11_JAM-11_WAS-11,0,outer
AIM-3,AIM,3,-85.39764441,95.01491398,-91.98091537,LID_EGO_WAX,AIM-LID_AIM-EGO_AIM-WAX,AIM-LID-3_AIM-EGO-3_AIM-WAX-3,LID-3_EGO-3_WAX-3,1,outer
CIS-2,CIS,2,85.32510359,11.66894898,-82.83059537,BAH_ORC_ETA_OFF_BAM,BAH-CIS_CIS-ORC_CIS-ETA_CIS-OFF_BAM-CIS,BAH-CIS-2_CIS-ORC-2_CIS-ETA-2_CIS-OFF-2_BAM-CIS-8,BAH-2_ORC-2_ETA-2_OFF-2_BAM-8,1,inner
MOP-6,MOP,6,-41.14815841,32.03279498,63.86493863,FAN_JUG_SOY,FAN-MOP_JUG-MOP_MOP-SOY,FAN-MOP-6_JUG-MOP-6_MOP-SOY-6,FAN-6_JUG-6_SOY-6,0,outer
EAR-11,EAR,10,47.71669559,-101.306211,24.42671963,GEL_JAM_ZOO_PHI,EAR-GEL_EAR-JAM_EAR-ZOO_EAR-PHI,EAR-JAM-11_EAR-ZOO-11_EAR-PHI-11_EAR-GEL-10,JAM-11_ZOO-11_PHI-11_GEL-10,0,inner
IRE-14,IRE,7,36.45626059,-3.166204017,68.58317463,MAC_EVE_GIG_RIB,IRE-MAC_EVE-IRE_GIG-IRE_IRE-RIB,EVE-IRE-14_GIG-IRE-14_IRE-RIB-14_IRE-MAC-7,EVE-14_GIG-14_RIB-14_MAC-7,0,outer
